year,directory,file_name,file_ext,file_url,date_found
2026,2026 Model Software/ICD-10 Mappings,2026 Initial ICD-10-CM Mappings,zip,https://www.cms.gov/files/zip/2026-initial-icd-10-cm-mappings.zip,2026-08-20
2026,2026 Model Software/ICD-10 Mappings,2026 Initial Model Software,zip,https://www.cms.gov/files/zip/2026-initial-model-software.zip,2026-08-20
2026,2026 Model Software/ICD-10 Mappings,2026 Midyear/Final ICD-10-Mappings,zip,https://www.cms.gov/files/zip/2026-midyear-final-icd-10-mappings.zip,2026-08-20
2026,2026 Model Software/ICD-10 Mappings,2026 Midyear/Final Model Software,zip,https://www.cms.gov/files/zip/2026-midyear-final-model-software.zip,2026-08-20
2026,2026 Model Software/ICD-10 Mappings,2026 Midyear/Final Model Software (Python),zip,https://www.cms.gov/files/zip/2026-midyear-final-model-software-python.zip,2026-08-20
2025,2025 Model Software/ICD-10 Mappings,2025 Midyear/Final Model Software,zip,https://www.cms.gov/files/zip/2025-midyear/final-model-software.zip,2026-08-20
2025,2025 Model Software/ICD-10 Mappings,2025 Midyear/Final ICD-10 Mappings,,https://www.cms.gov/files/zip/2025-midyear/final-icd-10-mappings.zip-0,2026-08-20
2025,2025 Model Software/ICD-10 Mappings,2025 Initial Model Software,zip,https://www.cms.gov/files/zip/2025-initial-model-software.zip,2026-08-20
2025,2025 Model Software/ICD-10 Mappings,2025 Initial ICD-10-CM Mappings,,https://www.cms.gov/files/zip/2025-initial-icd-10-cm-mappings.zip-0,2026-08-20
2024,2024 Model Software/ICD-10 Mappings,2024 Midyear/Final Model Software,,https://www.cms.gov/files/zip/2024-midyear/final-model-software.zip-0,2026-08-20
2024,2024 Model Software/ICD-10 Mappings,2024 Midyear/Final ICD-10 Mappings,zip,https://www.cms.gov/files/zip/2024-midyear/final-icd-10-mappings.zip,2026-08-20
2024,2024 Model Software/ICD-10 Mappings,2024 Initial Model Software,zip,https://www.cms.gov/files/zip/2024-initial-model-software.zip,2026-08-20
2024,2024 Model Software/ICD-10 Mappings,2024 Initial ICD-10 Mappings,zip,https://www.cms.gov/files/zip/2024-initial-icd-10-mappings.zip,2026-08-20
2023,2023 Model Software/ICD-10 Mappings,2023 Midyear Software Model,zip,https://www.cms.gov/files/zip/2023-midyear-software-model.zip,2026-08-20
2023,2023 Model Software/ICD-10 Mappings,2023 Midyear ICD-10 Mappings,,https://www.cms.gov/files/zip/2023-midyear-icd-10-mappings.zip-2,2026-08-20
2023,2023 Model Software/ICD-10 Mappings,2023 Initial Model Software,zip,https://www.cms.gov/files/zip/2023-initial-model-software.zip,2026-08-20
2023,2023 Model Software/ICD-10 Mappings,2023 Initial ICD-10 Mappings,zip,https://www.cms.gov/files/zip/2023-initial-icd-10-mappings.zip,2026-08-20
2022,2022 Model Software/ICD-10 Mappings,2022 Midyear Final ICD-10 Mappings,zip,https://www.cms.gov/files/zip/2022-midyear-final-icd-10-mappings.zip,2026-08-20
2022,2022 Model Software/ICD-10 Mappings,2022 Initial ICD-10 Mappings,zip,https://www.cms.gov/files/zip/2022-initial-icd-10-mappings.zip,2026-08-20
2022,2022 Model Software/ICD-10 Mappings,2022 Model Software,zip,https://www.cms.gov/files/zip/2022-model-software.zip,2026-08-20
2021,2021 Model Software/ICD-10 Mappings,2021 Midyear Final ICD-10 Mappings,zip,https://www.cms.gov/files/zip/2021-midyear-final-icd-10-mappings.zip,2026-08-20
2021,2021 Model Software/ICD-10 Mappings,2021 Model Software,zip,https://www.cms.gov/files/zip/2021-model-software.zip,2026-08-20
2020,2020 Model Software/ICD-10 Mappings,2020 Model Software,zip,https://www.cms.gov/files/zip/2020-model-software.zip,2026-08-20
2020,2020 Model Software/ICD-10 Mappings,2020 Midyear Final ICD-10 Mappings,zip,https://www.cms.gov/medicare/health-plans/medicareadvtgspecratestats/downloads/2020midyearfinalicd-10-cmmappings.zip,2026-08-20
2019,2019 Model Software/ICD-10 Mappings,2019 Midyear Final ICD-10 Mappings,zip,https://www.cms.gov/medicare/health-plans/medicareadvtgspecratestats/downloads/2019midyearfinalicd-10-cmmappings.zip,2026-08-20
2019,2019 Model Software/ICD-10 Mappings,2019 Model Software,zip,https://www.cms.gov/medicare/health-plans/medicareadvtgspecratestats/downloads/2019-midyear-final-model-software.zip,2026-08-20
2018,2018 Model Software/ICD-10 Mappings,2018 Model Software,zip,https://www.cms.gov/medicare/health-plans/medicareadvtgspecratestats/downloads/2018-model-software.zip,2026-08-20
2018,2018 Model Software/ICD-10 Mappings,2018 Midyear Final ICD-10 Mappings,zip,https://www.cms.gov/medicare/health-plans/medicareadvtgspecratestats/downloads/2018midyearfinalicd-10-cmmappings.zip,2026-08-20
2017,2017 Model Software/ICD-10 Mappings,2017 Model Software,zip,https://www.cms.gov/medicare/health-plans/medicareadvtgspecratestats/downloads/2017-midyear-final-model.zip,2026-08-20
2017,2017 Model Software/ICD-10 Mappings,2017 Midyear Final ICD-10 Mappings,zip,https://www.cms.gov/medicare/health-plans/medicareadvtgspecratestats/downloads/2017midyearfinalicd-10-cmmappings.zip,2026-08-20
2016,2016 Model Software/ICD-10 Mappings,2016 Model Software (Including ICD-10),zip,https://www.cms.gov/medicare/health-plans/medicareadvtgspecratestats/downloads/2016-midyear-final-model.zip,2026-08-20
2016,2016 Model Software/ICD-10 Mappings,2016 Final ICD-10 HCC and RxHCC Mappings,zip,https://www.cms.gov/medicare/health-plans/medicareadvtgspecratestats/downloads/2016finalicd-10hccandrxhccmappings.zip,2026-08-20
