year,directory,file_name,file_ext,file_url,date_found
2015,HHS DIY Software,"October 19, 2015 2015 Benefit Year Risk Adjustment: HHS-Developed Risk Adjustment Model Algorithm “Do It Yourself (DIY)” Software",zip,https://wayback.archive-it.org/2744/20200807095938/https://www.cms.gov/CCIIO/Resources/Regulations-and-Guidance/Downloads/SAS-Software-October-2015.zip,2026-08-24
2016,HHS DIY Software,"December 19, 2016 2016 Benefit Year Risk Adjustment: HHS-Developed Risk Adjustment Model Algorithm “Do It Yourself (DIY)” Software",zip,https://wayback.archive-it.org/2744/20200807095938/https://www.cms.gov/CCIIO/Resources/Regulations-and-Guidance/Downloads/HHS-HCC-software-v0417-127-M2-20161221.zip,2026-08-24
2017,HHS DIY Software,"July 21, 2017 2017 Benefit Year Risk Adjustment: HHS-Developed Risk Adjustment Model Algorithm “Do It Yourself (DIY)” Software",zip,https://www.cms.gov/cciio/resources/regulations-and-guidance/downloads/hhs-hcc-software-v0418-127-n1.zip,2026-08-24
2017,HHS DIY Software,"December 1, 2017 2017 Benefit Year Risk Adjustment: HHS-Developed Risk Adjustment Model Algorithm “Do it Yourself (DIY)” Software",zip,https://www.cms.gov/cciio/resources/regulations-and-guidance/downloads/2017-risk-adjustment-sas.zip,2026-08-24
2018,HHS DIY Software,"April 6, 2018 2018 Benefit Year Risk Adjustment: HHS-Developed Risk Adjustment Model Algorithm “Do it Yourself (DIY)” Software",zip,https://www.cms.gov/cciio/resources/regulations-and-guidance/downloads/2018-ra-model-sas.zip,2026-08-24
2018,HHS DIY Software,"December 4, 2018 2018 Benefit Year Risk Adjustment: Updated HHS-Developed Risk Adjustment Model Algorithm “Do It Yourself (DIY)” Software",zip,https://www.cms.gov/cciio/resources/regulations-and-guidance/downloads/hhs-hcc-software.zip,2026-08-24
2018,HHS DIY Software,"April 4, 2019 2018 Benefit Year Risk Adjustment Updated HHS-Developed Risk Adjustment Model Algorithm ""Do It Yourself (DIY)"" Software",zip,https://www.cms.gov/cciio/resources/regulations-and-guidance/downloads/updated-hhs-hcc-software.zip,2026-08-24
2019,HHS DIY Software,"July 16, 2019 2019 Benefit Year Risk Adjustment Updated HHS-Developed Risk Adjustment Model Algorithm ""Do It Yourself (DIY)"" Software",,https://www.cms.gov/files/document/edge-2019-qq-guidance.pdf,2026-08-24
2019,HHS DIY Software,"January 17, 2020 2019 Benefit Year Risk Adjustment Updated HHS-Development Risk Adjustment Model Algorithm ""Do It Yourself (DIY)"" Software",,https://www.cms.gov/files/document/draft-2021-update-icd-10-crosswalk-hhs-hcc-risk-adjustment-model.xlsx,2026-08-24
2019,HHS DIY Software,"April 15, 2020 2019 Benefit Year Risk Adjustment Updated HHS-Developed Risk Adjustment Model Algorithm ""Do It Yourself (DIY)"" Software",,https://www.cms.gov/files/document/cciioratelehealthfaq042720.pdf,2026-08-24
2020,HHS DIY Software,"August 3, 2020 2020 Benefit Year Risk Adjustment Updated HHS-Developed Risk Adjustment Model Algorithm ""Do It Yourself (DIY)"" Software",zip,https://www.cms.gov/cciio/resources/regulations-and-guidance/downloads/hhs_hcc_software_v0519_128_p2_description_08.03.2020.zip,2026-08-24
2020,HHS DIY Software,"January 25, 2021 2020 Benefit Year Risk Adjustment Updated HHS-Developed Risk Adjustment Model Algorithm ""Do It Yourself (DIY)"" Software",,https://www.cms.gov/files/document/cy2020-diy-instructions1192021final.pdf,2026-08-24
2020,HHS DIY Software,"April 16, 2021 2020 Benefit Year Risk Adjustment Updated HHS-Developed Risk Adjustment Model Algorithm ""Do It Yourself (DIY)"" Software",,https://www.cms.gov/files/document/cy2020-diy-instructions04132021.pdf,2026-08-24
2021,HHS DIY Software,"August 3, 2021 2021 Benefit Year Risk Adjustment Updated HHS-Developed Risk Adjustment Model Algorithm ""Do It Yourself (DIY)"" Software",,https://www.cms.gov/files/document/cy2021-diy-instructions-07232021.pdf,2026-08-24
2021,HHS DIY Software,"January 7, 2022 2021 Benefit Year Risk Adjustment Updated HHS-Developed Risk Adjustment Model Algorithm ""Do It Yourself (DIY)"" Software",,https://www.cms.gov/files/document/cy2021-diy-instructions-12172021cleanfo.pdf,2026-08-24
2021,HHS DIY Software,"April 13, 2022 Final 2021 Benefit Year Risk Adjustment Updated HHS-Developed Risk Adjustment Model Algorithm ""Do It Yourself (DIY)"" Software",,https://www.cms.gov/files/document/cy2021-diy-instructions-03312022-final.pdf,2026-08-24
2022,HHS DIY Software,"July 12, 2022 2022 Benefit Year Risk Adjustment Updated HHS-Developed Risk Adjustment Model Algorithm ""Do It Yourself (DIY)"" Software",,https://www.cms.gov/files/document/cy2022-diy-instructions-06-30-3033.pdf,2026-08-24
2022,HHS DIY Software,"December 29, 2022 2022 Benefit Year Risk Adjustment Updated HHS-Developed Risk Adjustment Model Algorithm ""Do It Yourself (DIY)"" Software",,https://www.cms.gov/files/document/ra-cy2022-diy-instructions-5cr-122722.pdf,2026-08-24
2022,HHS DIY Software,"April 11, 2023 Final 2022 Benefit Year Risk Adjustment: SAS Version of HHS-Developed Risk Adjustment Model Algorithm ""Do It Yourself (DIY)"" Software",,https://www.cms.gov/files/document/cy2022-diy-instructions-04112023.pdf,2026-08-24
2023,HHS DIY Software,"August 22, 2023 2023 Benefit Year Risk Adjustment HHS-Developed Risk Adjustment Model Algorithm ""Do It Yourself (DIY)"" Software",,https://www.cms.gov/files/document/cy2023-diy-instructions-08222023.pdf,2026-08-24
